category,products,units_sold,revenue,avg_rating,avg_return_pct
Electronics,10,1368215,690524703.0,4.37,8.87
Garden & Pool,10,907550,631061853.0,4.55,4.46
Sport & Outdoor,10,1697503,584378568.0,4.42,6.31
Automotive,10,1690276,539651623.0,4.3,7.92
Home & Kitchen,10,1232610,495832166.0,4.55,5.73
Baby,10,1411245,358617795.0,4.36,6.62
Toys,10,1225173,329434654.0,4.54,4.84
Fashion,10,1248154,284490677.0,3.88,16.03
Pet Supplies,10,1420107,254350742.0,4.59,2.76
Beauty,10,1413201,223867305.0,4.54,3.84
Books,10,2219739,193441014.0,4.59,1.67
Groceries,10,1101759,155858126.0,4.59,0.93
