"category","orders","units","revenue","avg_price","return_pct","avg_delivery_days","on_time_pct"
"Electronics","831945","1364227","6.90524702E8","549.24","9.01","3.42","60.95"
"Garden & Pool","833181","1366260","6.31061852E8","500.84","5.0","3.42","60.96"
"Sport & Outdoor","832492","1364089","5.84378568E8","465.13","7.04","3.41","60.93"
"Automotive","832464","1365162","5.39651623E8","428.82","8.05","3.42","60.97"
"Home & Kitchen","833652","1368061","4.95832165E8","393.22","6.0","3.41","61.06"
"Baby","832780","1365812","3.58617795E8","285.23","5.97","3.42","60.88"
"Toys","833670","1367691","3.29434654E8","261.45","5.01","3.42","60.78"
"Fashion","833896","1368565","2.84490678E8","225.58","16.03","3.41","60.95"
"Pet Supplies","834765","1369374","2.54350742E8","201.6","3.0","3.42","60.94"
"Beauty","834651","1368529","2.23867305E8","177.51","4.01","3.41","61.01"
"Books","833981","1367191","1.93441014E8","153.65","1.98","3.42","60.91"
"Groceries","832523","1365803","1.55858126E8","123.81","1.01","3.41","60.93"
