cohort,month_offset,retention_pct
2025-01,0,100.0
2025-01,1,96.4
2025-01,2,92.9
2025-01,3,89.5
2025-01,4,86.4
2025-01,5,83.1
2025-01,6,79.6
2025-01,7,76.7
2025-01,8,74.3
2025-01,9,72.1
2025-01,10,69.2
2025-01,11,67.1
2025-01,12,64.5
2025-02,0,100.0
2025-02,1,96.5
2025-02,2,92.7
2025-02,3,89.0
2025-02,4,85.6
2025-02,5,82.8
2025-02,6,79.6
2025-02,7,76.5
2025-02,8,74.3
2025-02,9,71.5
2025-02,10,69.0
2025-02,11,66.5
2025-02,12,64.0
2025-03,0,100.0
2025-03,1,96.6
2025-03,2,93.3
2025-03,3,90.1
2025-03,4,86.7
2025-03,5,83.7
2025-03,6,80.5
2025-03,7,77.4
2025-03,8,75.3
2025-03,9,72.3
2025-03,10,69.8
2025-03,11,67.2
2025-03,12,64.9
2025-04,0,100.0
2025-04,1,96.5
2025-04,2,93.2
2025-04,3,89.6
2025-04,4,86.4
2025-04,5,83.7
2025-04,6,81.2
2025-04,7,78.0
2025-04,8,74.8
2025-04,9,71.8
2025-04,10,69.6
2025-04,11,67.5
2025-04,12,65.2
2025-05,0,100.0
2025-05,1,96.5
2025-05,2,92.7
2025-05,3,89.5
2025-05,4,86.2
2025-05,5,83.2
2025-05,6,80.2
2025-05,7,77.6
2025-05,8,74.7
2025-05,9,72.1
2025-05,10,69.1
2025-05,11,66.3
2025-05,12,62.0
2025-06,0,100.0
2025-06,1,96.3
2025-06,2,92.8
2025-06,3,89.6
2025-06,4,86.7
2025-06,5,83.9
2025-06,6,81.0
2025-06,7,78.2
2025-06,8,75.7
2025-06,9,72.9
2025-06,10,70.5
2025-06,11,68.3
2025-06,12,0.0
2025-07,0,100.0
2025-07,1,96.5
2025-07,2,93.0
2025-07,3,89.4
2025-07,4,86.6
2025-07,5,83.5
2025-07,6,81.0
2025-07,7,77.6
2025-07,8,74.9
2025-07,9,72.3
2025-07,10,67.9
2025-07,11,0.0
2025-07,12,0.0
2025-08,0,100.0
2025-08,1,96.4
2025-08,2,92.9
2025-08,3,89.3
2025-08,4,86.2
2025-08,5,83.1
2025-08,6,80.8
2025-08,7,77.4
2025-08,8,74.3
2025-08,9,69.7
2025-08,10,0.0
2025-08,11,0.0
2025-08,12,0.0
2025-09,0,100.0
2025-09,1,95.8
2025-09,2,91.9
2025-09,3,89.0
2025-09,4,86.1
2025-09,5,83.2
2025-09,6,80.2
2025-09,7,77.2
2025-09,8,72.1
2025-09,9,0.0
2025-09,10,0.0
2025-09,11,0.0
2025-09,12,0.0
2025-10,0,100.0
2025-10,1,96.1
2025-10,2,92.8
2025-10,3,89.3
2025-10,4,85.6
2025-10,5,82.3
2025-10,6,79.3
2025-10,7,70.5
2025-10,8,0.0
2025-10,9,0.0
2025-10,10,0.0
2025-10,11,0.0
2025-10,12,0.0
2025-11,0,100.0
2025-11,1,96.6
2025-11,2,93.4
2025-11,3,90.1
2025-11,4,86.6
2025-11,5,83.1
2025-11,6,77.7
2025-11,7,0.0
2025-11,8,0.0
2025-11,9,0.0
2025-11,10,0.0
2025-11,11,0.0
2025-11,12,0.0
2025-12,0,100.0
2025-12,1,96.1
2025-12,2,92.9
2025-12,3,89.5
2025-12,4,86.6
2025-12,5,77.7
2025-12,6,0.0
2025-12,7,0.0
2025-12,8,0.0
2025-12,9,0.0
2025-12,10,0.0
2025-12,11,0.0
2025-12,12,0.0
2026-01,0,100.0
2026-01,1,96.6
2026-01,2,92.9
2026-01,3,89.8
2026-01,4,80.5
2026-01,5,0.0
2026-01,6,0.0
2026-01,7,0.0
2026-01,8,0.0
2026-01,9,0.0
2026-01,10,0.0
2026-01,11,0.0
2026-01,12,0.0
2026-02,0,100.0
2026-02,1,96.0
2026-02,2,92.5
2026-02,3,89.1
2026-02,4,0.0
2026-02,5,0.0
2026-02,6,0.0
2026-02,7,0.0
2026-02,8,0.0
2026-02,9,0.0
2026-02,10,0.0
2026-02,11,0.0
2026-02,12,0.0
2026-03,0,100.0
2026-03,1,96.0
2026-03,2,89.6
2026-03,3,0.0
2026-03,4,0.0
2026-03,5,0.0
2026-03,6,0.0
2026-03,7,0.0
2026-03,8,0.0
2026-03,9,0.0
2026-03,10,0.0
2026-03,11,0.0
2026-03,12,0.0
2026-04,0,100.0
2026-04,1,96.1
2026-04,2,0.0
2026-04,3,0.0
2026-04,4,0.0
2026-04,5,0.0
2026-04,6,0.0
2026-04,7,0.0
2026-04,8,0.0
2026-04,9,0.0
2026-04,10,0.0
2026-04,11,0.0
2026-04,12,0.0
2026-05,0,100.0
2026-05,1,0.0
2026-05,2,0.0
2026-05,3,0.0
2026-05,4,0.0
2026-05,5,0.0
2026-05,6,0.0
2026-05,7,0.0
2026-05,8,0.0
2026-05,9,0.0
2026-05,10,0.0
2026-05,11,0.0
2026-05,12,0.0
2026-06,0,100.0
2026-06,1,0.0
2026-06,2,0.0
2026-06,3,0.0
2026-06,4,0.0
2026-06,5,0.0
2026-06,6,0.0
2026-06,7,0.0
2026-06,8,0.0
2026-06,9,0.0
2026-06,10,0.0
2026-06,11,0.0
2026-06,12,0.0
