customer_id,orders,total_spend,avg_order_value,max_qty,return_rate,avg_discount,active_days,n_provinces,anomaly_score,iso_flag,flag_velocity,flag_return_abuse,flag_multi_province,flag_high_value_outlier,risk_flags
440479,7,10018.13,1431.16,5,0.429,5.7,279,4,1,1,0,1,1,1,3
239869,7,3503.02,500.43,2,0.429,5.0,455,4,1,1,0,1,1,0,2
520914,7,3470.57,495.8,2,0.429,10.7,333,6,1,1,0,1,1,0,2
129253,8,11927.61,1490.95,4,0.0,6.3,409,5,-1,0,0,0,1,1,2
663156,5,7631.1,1526.22,4,0.0,6.0,188,4,-1,0,0,0,1,1,2
648275,12,17142.95,1428.58,5,0.167,6.3,269,6,1,1,0,0,1,1,2
354518,9,13736.69,1526.3,5,0.0,6.7,284,4,1,1,0,0,1,1,2
469511,10,14872.53,1487.25,5,0.0,9.0,469,5,1,1,0,0,1,1,2
575859,9,14283.8,1587.09,5,0.222,5.0,470,5,1,1,0,0,1,1,2
167969,14,21977.87,1569.85,5,0.071,5.0,418,6,1,1,0,0,1,1,2
327587,7,4095.91,585.13,5,0.429,7.9,362,4,-1,0,0,1,1,0,2
267818,5,7572.82,1514.56,5,0.0,7.0,151,4,-1,0,0,0,1,1,2
644316,9,7488.39,832.04,4,0.444,7.8,269,6,-1,0,0,1,1,0,2
379786,7,4134.38,590.63,4,0.429,10.0,474,4,-1,0,0,1,1,0,2
276452,9,14342.29,1593.59,5,0.0,3.3,406,6,1,1,0,0,1,1,2
560147,8,12693.92,1586.74,5,0.125,10.0,413,4,1,1,0,0,1,1,2
684918,12,19148.09,1595.67,5,0.0,7.9,376,5,1,1,0,0,1,1,2
233435,9,12540.48,1393.39,4,0.0,5.0,412,5,-1,0,0,0,1,1,2
322374,10,25797.72,2579.77,4,0.1,7.5,372,6,1,1,0,0,1,1,2
604144,4,9563.44,2390.86,4,0.0,0.0,212,4,1,1,0,0,1,1,2
606620,7,12401.04,1771.58,5,0.143,4.3,323,5,1,1,0,0,1,1,2
428570,9,14720.48,1635.61,4,0.0,5.6,400,5,1,1,0,0,1,1,2
233295,11,16467.05,1497.0,5,0.0,5.5,314,6,1,1,0,0,1,1,2
189555,11,5976.22,543.29,4,0.455,8.6,227,6,-1,0,0,1,1,0,2
45048,8,12992.87,1624.11,4,0.0,5.6,476,6,1,1,0,0,1,1,2
675306,11,7670.19,697.29,3,0.455,3.6,462,7,1,1,0,1,1,0,2
624408,7,5386.72,769.53,5,0.571,3.6,172,5,1,1,0,1,1,0,2
523509,7,9737.87,1391.12,5,0.143,3.6,324,4,1,1,0,0,1,1,2
586741,13,19399.76,1492.29,4,0.0,4.2,342,5,1,1,0,0,1,1,2
334278,8,11828.89,1478.61,5,0.0,8.1,394,4,1,1,0,0,1,1,2
369916,14,11751.44,839.39,4,0.5,10.4,357,4,1,1,0,1,1,0,2
211810,10,17797.32,1779.73,5,0.2,4.0,291,7,1,1,0,0,1,1,2
454357,10,20544.27,2054.43,5,0.0,4.0,270,7,1,1,0,0,1,1,2
187205,12,5587.16,465.6,5,0.417,7.9,425,7,-1,0,0,1,1,0,2
555796,8,12524.52,1565.56,5,0.0,5.6,285,4,1,1,0,0,1,1,2
282746,15,22085.97,1472.4,5,0.133,6.0,320,6,1,1,0,0,1,1,2
729582,9,17700.89,1966.77,5,0.0,7.8,213,4,1,1,0,0,1,1,2
352826,9,14820.11,1646.68,5,0.0,7.2,319,5,1,1,0,0,1,1,2
402166,7,10620.16,1517.17,4,0.143,5.7,334,4,1,1,0,0,1,1,2
306623,8,4220.07,527.51,4,0.5,4.4,420,5,-1,0,0,1,1,0,2
403613,11,17656.44,1605.13,5,0.091,4.5,369,6,1,1,0,0,1,1,2
533700,6,4111.93,685.32,3,0.5,11.7,198,4,1,1,0,1,1,0,2
727399,9,14569.17,1618.8,5,0.0,8.9,211,6,1,1,0,0,1,1,2
635668,12,17149.65,1429.14,4,0.0,6.3,360,6,1,1,0,0,1,1,2
343811,11,16112.55,1464.78,4,0.0,5.5,311,5,1,1,0,0,1,1,2
240821,7,8255.9,1179.41,5,0.429,6.4,194,4,1,1,0,1,1,0,2
604558,7,10823.82,1546.26,5,0.0,7.1,273,4,1,1,0,0,1,1,2
550957,8,11215.41,1401.93,5,0.0,3.8,306,6,1,1,0,0,1,1,2
227842,12,17170.79,1430.9,5,0.083,6.3,410,5,1,1,0,0,1,1,2
