month,channel,impressions,clicks,spend,conversions,revenue,ctr_pct,cvr_pct,cpc,roas,cpa
2025-01,Google Search,207952,9357,39303.0,213,155414.0,4.5,2.22,4.2,3.95,184.0
2025-01,Google Shopping,1440201,17282,53576.0,347,252330.0,1.2,2.07,3.1,4.71,154.0
2025-01,Facebook Ads,1984497,17860,41079.0,170,95236.0,0.9,1.02,2.3,2.32,241.0
2025-01,Instagram Ads,810103,8911,24951.0,136,75867.0,1.1,1.4,2.8,3.04,183.0
2025-01,TikTok Ads,1008831,14123,22598.0,108,50670.0,1.4,0.73,1.6,2.24,209.0
2025-01,Apple Search Ads,78902,2367,12782.0,21,17542.0,3.0,0.93,5.4,1.37,587.0
2025-02,Google Search,212351,9555,40134.0,200,147030.0,4.5,2.22,4.2,3.66,200.0
2025-02,Google Shopping,1458065,17496,54240.0,374,245590.0,1.2,2.07,3.1,4.53,145.0
2025-02,Facebook Ads,1816547,16348,37603.0,162,85466.0,0.9,1.02,2.3,2.27,232.0
2025-02,Instagram Ads,860172,9461,26493.0,130,67243.0,1.1,1.4,2.8,2.54,203.0
2025-02,TikTok Ads,925063,12950,20721.0,101,49256.0,1.4,0.73,1.6,2.38,204.0
2025-02,Apple Search Ads,75654,2269,12256.0,20,17778.0,3.0,0.93,5.4,1.45,599.0
2025-03,Google Search,225038,10126,42532.0,221,170398.0,4.5,2.22,4.2,4.01,192.0
2025-03,Google Shopping,1425074,17100,53013.0,367,251490.0,1.2,2.07,3.1,4.74,144.0
2025-03,Facebook Ads,1748203,15733,36188.0,166,88306.0,0.9,1.02,2.3,2.44,217.0
2025-03,Instagram Ads,842992,9272,25964.0,131,66842.0,1.1,1.4,2.8,2.57,197.0
2025-03,TikTok Ads,1027565,14385,23017.0,106,50278.0,1.4,0.73,1.6,2.18,217.0
2025-03,Apple Search Ads,72179,2165,11693.0,19,16282.0,3.0,0.93,5.4,1.39,590.0
2025-04,Google Search,220887,9939,41748.0,228,168578.0,4.5,2.22,4.2,4.04,183.0
2025-04,Google Shopping,1453735,17444,54079.0,325,236278.0,1.2,2.07,3.1,4.37,166.0
2025-04,Facebook Ads,1842865,16585,38147.0,163,89508.0,0.9,1.02,2.3,2.35,234.0
2025-04,Instagram Ads,775516,8530,23886.0,129,72411.0,1.1,1.4,2.8,3.03,185.0
2025-04,TikTok Ads,895465,12536,20058.0,88,42741.0,1.4,0.73,1.6,2.13,226.0
2025-04,Apple Search Ads,71322,2139,11554.0,20,16402.0,3.0,0.93,5.4,1.42,573.0
2025-05,Google Search,234409,10548,44303.0,255,196121.0,4.5,2.22,4.2,4.43,173.0
2025-05,Google Shopping,1514255,18171,56330.0,350,259590.0,1.2,2.07,3.1,4.61,161.0
2025-05,Facebook Ads,1660850,14947,34380.0,146,77943.0,0.9,1.02,2.3,2.27,235.0
2025-05,Instagram Ads,873165,9604,26893.0,134,67101.0,1.1,1.4,2.8,2.5,201.0
2025-05,TikTok Ads,886454,12410,19857.0,92,43134.0,1.4,0.73,1.6,2.17,215.0
2025-05,Apple Search Ads,75576,2267,12243.0,21,18436.0,3.0,0.93,5.4,1.51,573.0
2025-06,Google Search,240817,10836,45515.0,225,174187.0,4.5,2.22,4.2,3.83,202.0
2025-06,Google Shopping,1563577,18762,58165.0,399,285289.0,1.2,2.07,3.1,4.9,146.0
2025-06,Facebook Ads,1852662,16673,38350.0,184,97547.0,0.9,1.02,2.3,2.54,208.0
2025-06,Instagram Ads,860924,9470,26516.0,140,70896.0,1.1,1.4,2.8,2.67,188.0
2025-06,TikTok Ads,1004833,14067,22508.0,100,48618.0,1.4,0.73,1.6,2.16,224.0
2025-06,Apple Search Ads,67669,2030,10963.0,19,16579.0,3.0,0.93,5.4,1.51,569.0
