month,organic_sessions,brand_sessions,nonbrand_sessions,organic_revenue
2025-01,49215,14695,34520,771691.0
2025-02,51197,15559,35638,802769.0
2025-03,52109,16815,35294,817069.0
2025-04,52622,17345,35277,825113.0
2025-05,54568,18424,36144,855626.0
2025-06,58370,19496,38874,915242.0
2025-07,59978,17323,42655,940455.0
2025-08,60475,19622,40853,948248.0
2025-09,61621,19210,42411,966217.0
2025-10,61817,17905,43912,969291.0
2025-11,67141,19402,47739,1052771.0
2025-12,70442,20049,50393,1104531.0
2026-01,74273,20903,53370,1164601.0
2026-02,83607,24879,58728,1310958.0
2026-03,90221,26812,63409,1414665.0
2026-04,95280,30438,64842,1493990.0
2026-05,92180,30108,62072,1445382.0
2026-06,92535,31140,61395,1450949.0
