"order_month","category","revenue"
"2026-06","Home & Kitchen","1.0020141E7"
"2026-06","Beauty","4557232.0"
"2026-06","Books","3865275.0"
"2025-03","Electronics","1.2382484E7"
"2025-03","Toys","6126439.0"
"2025-05","Automotive","1.8161081E7"
"2025-06","Sport & Outdoor","2.3047876E7"
"2025-09","Baby","2.1803028E7"
"2025-09","Electronics","4.2358132E7"
"2025-10","Baby","2.5381932E7"
"2025-10","Pet Supplies","1.7769183E7"
"2025-10","Groceries","1.1042002E7"
"2026-03","Sport & Outdoor","6.2974446E7"
"2026-03","Garden & Pool","6.731171E7"
"2026-03","Baby","3.8631471E7"
"2026-04","Groceries","1.5592454E7"
"2025-02","Baby","3597731.0"
"2025-01","Books","725098.0"
"2025-01","Automotive","2069320.0"
"2026-06","Fashion","5702184.0"
"2026-06","Electronics","1.410272E7"
"2025-05","Garden & Pool","2.0947695E7"
"2025-05","Beauty","7451576.0"
"2026-05","Fashion","1.808679E7"
"2025-08","Groceries","8645921.0"
"2025-08","Garden & Pool","3.5010284E7"
"2025-09","Beauty","1.3783999E7"
"2025-10","Sport & Outdoor","4.1586466E7"
"2025-12","Pet Supplies","2.1737747E7"
"2025-01","Pet Supplies","960203.0"
"2026-06","Automotive","1.0870581E7"
"2025-03","Sport & Outdoor","1.0364728E7"
"2025-05","Toys","1.0917064E7"
"2026-05","Sport & Outdoor","3.7081226E7"
"2025-08","Beauty","1.2329914E7"
"2025-08","Baby","2.0058481E7"
"2025-07","Home & Kitchen","2.3836973E7"
"2025-07","Beauty","1.0733812E7"
"2025-10","Beauty","1.5804444E7"
"2025-10","Electronics","4.8846981E7"
"2026-02","Sport & Outdoor","5.2928601E7"
"2026-04","Books","1.9300625E7"
"2025-11","Electronics","5.2520842E7"
"2025-11","Baby","2.6999529E7"
"2025-11","Automotive","4.0635113E7"
"2025-02","Toys","3218088.0"
"2025-04","Toys","8065499.0"
"2025-04","Groceries","3857946.0"
"2025-04","Beauty","5607669.0"
"2025-03","Groceries","2844847.0"
"2025-06","Pet Supplies","1.0102656E7"
"2025-06","Automotive","2.144725E7"
"2025-06","Beauty","8769465.0"
"2025-08","Fashion","1.5745266E7"
"2025-09","Home & Kitchen","3.0563407E7"
"2025-07","Sport & Outdoor","2.7730904E7"
"2025-07","Electronics","3.3032307E7"
