"province","category","revenue"
"Western Cape","Garden & Pool","1.38384187E8"
"KwaZulu-Natal","Books","3.1033629E7"
"Gauteng","Fashion","9.6958251E7"
"Northern Cape","Fashion","8504582.0"
"Limpopo","Toys","1.3310236E7"
"Mpumalanga","Pet Supplies","1.2762987E7"
"KwaZulu-Natal","Home & Kitchen","7.9186168E7"
"Northern Cape","Baby","1.0739668E7"
"Free State","Electronics","3.4419477E7"
"North West","Groceries","6278565.0"
"Western Cape","Books","4.245785E7"
"Free State","Beauty","1.110688E7"
"Mpumalanga","Toys","1.6532313E7"
"Northern Cape","Books","5764917.0"
"KwaZulu-Natal","Pet Supplies","4.0752966E7"
"Gauteng","Beauty","7.6563546E7"
"Gauteng","Books","6.5839238E7"
"Western Cape","Groceries","3.4185567E7"
"Gauteng","Toys","1.12026382E8"
"Eastern Cape","Beauty","1.5566377E7"
"North West","Pet Supplies","1.0115691E7"
"Free State","Books","9721231.0"
"North West","Baby","1.4311938E7"
"Free State","Automotive","2.6947484E7"
"Gauteng","Baby","1.22079613E8"
"KwaZulu-Natal","Automotive","8.6537313E7"
"Gauteng","Home & Kitchen","1.68334643E8"
"Gauteng","Groceries","5.3161975E7"
"KwaZulu-Natal","Garden & Pool","1.01303097E8"
"Gauteng","Garden & Pool","2.15119891E8"
"Northern Cape","Garden & Pool","1.9238966E7"
"North West","Books","7724422.0"
"Eastern Cape","Fashion","1.9957821E7"
"Gauteng","Electronics","2.3500045E8"
"KwaZulu-Natal","Sport & Outdoor","9.3863362E7"
"Northern Cape","Electronics","2.0544519E7"
"Northern Cape","Toys","9907812.0"
"Eastern Cape","Sport & Outdoor","4.0381064E7"
"Northern Cape","Groceries","4746685.0"
"Eastern Cape","Electronics","4.8558883E7"
"Northern Cape","Home & Kitchen","1.5009125E7"
"Limpopo","Baby","1.4308797E7"
"Northern Cape","Pet Supplies","7627924.0"
"Limpopo","Garden & Pool","2.5036273E7"
"KwaZulu-Natal","Fashion","4.5344266E7"
"Western Cape","Beauty","4.9247758E7"
"Limpopo","Home & Kitchen","1.9901372E7"
"Western Cape","Automotive","1.18781428E8"
"Limpopo","Beauty","8953271.0"
"North West","Electronics","2.7544553E7"
"Eastern Cape","Toys","2.2914034E7"
"Northern Cape","Sport & Outdoor","1.7270821E7"
"Free State","Toys","1.6500511E7"
"KwaZulu-Natal","Beauty","3.5677842E7"
"North West","Toys","1.3120142E7"
"Free State","Home & Kitchen","2.4794183E7"
"Eastern Cape","Home & Kitchen","3.4718342E7"
"North West","Fashion","1.139698E7"
"Limpopo","Groceries","6190966.0"
"Gauteng","Automotive","1.83552032E8"
"Western Cape","Toys","7.2419244E7"
"Western Cape","Electronics","1.5169314E8"
"KwaZulu-Natal","Baby","5.7367477E7"
"North West","Beauty","8788843.0"
"Limpopo","Fashion","1.1261986E7"
"Free State","Fashion","1.4294906E7"
"Mpumalanga","Beauty","1.1184359E7"
"Free State","Pet Supplies","1.2763342E7"
"Mpumalanga","Electronics","3.4461046E7"
"Western Cape","Home & Kitchen","1.09210213E8"
"North West","Garden & Pool","2.4980895E7"
"Northern Cape","Automotive","1.6348314E7"
"North West","Home & Kitchen","1.9824446E7"
"Eastern Cape","Books","1.3472109E7"
"Eastern Cape","Baby","2.4856933E7"
"Mpumalanga","Sport & Outdoor","2.9354467E7"
"Limpopo","Pet Supplies","1.0292333E7"
"Gauteng","Pet Supplies","8.6372892E7"
"Western Cape","Sport & Outdoor","1.28881311E8"
"Free State","Garden & Pool","3.1595929E7"
"Free State","Baby","1.8210481E7"
"Eastern Cape","Groceries","1.0898001E7"
"KwaZulu-Natal","Groceries","2.4831664E7"
"Free State","Groceries","7801277.0"
"Mpumalanga","Garden & Pool","3.1645799E7"
"Mpumalanga","Home & Kitchen","2.4853673E7"
"Mpumalanga","Fashion","1.4218468E7"
"Western Cape","Fashion","6.2553418E7"
"KwaZulu-Natal","Toys","5.2703979E7"
"Eastern Cape","Pet Supplies","1.7654136E7"
"Eastern Cape","Garden & Pool","4.3756815E7"
"Limpopo","Books","7782586.0"
"KwaZulu-Natal","Electronics","1.10357026E8"
"Eastern Cape","Automotive","3.7634141E7"
"Mpumalanga","Books","9645033.0"
"Limpopo","Automotive","2.143555E7"
"Gauteng","Sport & Outdoor","1.98599545E8"
"Limpopo","Sport & Outdoor","2.3393266E7"
"Western Cape","Baby","7.8756007E7"
"North West","Automotive","2.1646662E7"
"Western Cape","Pet Supplies","5.6008472E7"
"Free State","Sport & Outdoor","2.9115087E7"
"Mpumalanga","Baby","1.7986882E7"
"Limpopo","Electronics","2.7945606E7"
"Mpumalanga","Groceries","7763426.0"
"Northern Cape","Beauty","6778430.0"
"Mpumalanga","Automotive","2.6768699E7"
"North West","Sport & Outdoor","2.3519646E7"
