antecedent,consequent,pair_customers,a_customers,b_customers,total_customers,support,conf_a_to_b,lift
Garden & Pool,Sport & Outdoor,335061,517409,517374,799997,0.41882782060432727,0.6475747426117443,1.001321773736538
Baby,Electronics,334621,517419,516761,799997,0.41827781854181956,0.6467118524831906,1.001173737667887
Pet Supplies,Sport & Outdoor,335526,518219,517374,799997,0.41940907278402295,0.6474598577049472,1.0011441312945464
Books,Fashion,335587,517929,517932,799997,0.4194853230699615,0.6479401616823928,1.0008074139567147
Baby,Groceries,334924,517419,517434,799997,0.41865656996213735,0.6472974513885266,1.0007769478203346
Fashion,Pet Supplies,335747,517932,518219,799997,0.4196853238199643,0.6482453295027146,1.0007242475983769
Books,Groceries,335230,517929,517434,799997,0.41903907139651775,0.6472508780160987,1.0007049414229543
Baby,Home & Kitchen,335123,517419,517787,799997,0.41890532089495336,0.6476820526497867,1.0006888915203962
Books,Home & Kitchen,335443,517929,517787,799997,0.419305322394959,0.6476621312959885,1.0006581124099232
Books,Pet Supplies,335716,517929,518219,799997,0.4196465736746513,0.6481892305702133,1.00063764525901
Baby,Toys,335163,517419,517881,799997,0.41895532108245404,0.6477593594359697,1.0006266773075232
Automotive,Fashion,335149,517361,517932,799997,0.4189378210168288,0.6478049176493783,1.0005985162236541
Home & Kitchen,Toys,335391,517787,517881,799997,0.41924032215120804,0.6477393213811857,1.000595723509811
Groceries,Toys,335157,517434,517881,799997,0.41894782105432893,0.6477289857257157,1.0005797574995325
Fashion,Toys,335455,517932,517881,799997,0.4193203224512092,0.647681548929203,1.0005064794783274
Automotive,Sport & Outdoor,334751,517361,517374,799997,0.41844031915119684,0.6470356288935579,1.000488161384143
Garden & Pool,Groceries,334815,517409,517434,799997,0.41852031945119794,0.64709929668792,1.0004705837893257
Beauty,Electronics,334644,517820,516761,799997,0.41830656864963245,0.6462554555637094,1.0004671902186908
Beauty,Toys,335363,517820,517881,799997,0.4192053220199576,0.6476439689467383,1.000448427776813
Electronics,Pet Supplies,334879,516761,518219,799997,0.41860031975119905,0.6480345846532536,1.0003989116934133
Garden & Pool,Home & Kitchen,335016,517409,517787,799997,0.41877157039338897,0.6474877707964106,1.0003887200215844
Beauty,Garden & Pool,335037,517820,517409,799997,0.41879782049182684,0.6470144065505388,1.0003876704835273
Books,Electronics,334675,517929,516761,799997,0.41834531879494546,0.6461793025684988,1.0003492978705655
Baby,Garden & Pool,334754,517419,517409,799997,0.4184440691652594,0.646968897547249,1.000317306291747
Electronics,Fashion,334663,516761,517932,799997,0.41833031873869525,0.6476165964536797,1.000307635583734
Electronics,Sport & Outdoor,334301,516761,517374,799997,0.4178778170418139,0.6469160791932828,1.0003033059380422
Pet Supplies,Toys,335555,518219,517881,799997,0.41944532291996095,0.6475158186017881,1.0002504674509678
Baby,Sport & Outdoor,334702,517419,517374,799997,0.41837906892150845,0.6468683987252111,1.0002295793274742
Electronics,Garden & Pool,334294,516761,517409,799997,0.4178690670090013,0.6469025332794077,1.000214696528136
Fashion,Home & Kitchen,335295,517932,517787,799997,0.4191203217012064,0.6473726280670049,1.0002108209277556
Garden & Pool,Pet Supplies,335233,517409,518219,799997,0.4190428214105803,0.6479071682170198,1.0002022134505126
Beauty,Books,335306,517820,517929,799997,0.41913407175276907,0.647533892086053,1.0001856838817023
Beauty,Sport & Outdoor,334939,517820,517374,799997,0.4186753200324501,0.6468251515970801,1.0001627078326496
Books,Toys,335335,517929,517881,799997,0.41917032188870706,0.6474536085061852,1.000154368366715
Electronics,Groceries,334282,516761,517434,799997,0.41785406695275107,0.6468793117127647,1.000130468296008
Groceries,Pet Supplies,335209,517434,518219,799997,0.4190128212980799,0.6478294816343727,1.000082285325419
Automotive,Groceries,334647,517361,517434,799997,0.418310318663695,0.6468346087161576,1.0000613536588239
Books,Garden & Pool,334996,517929,517409,799997,0.41874657029963863,0.6467990786381917,1.0000547391199563
Groceries,Home & Kitchen,334919,517434,517787,799997,0.4186503199386998,0.6472690236822474,1.0000507489348456
Electronics,Toys,334544,516761,517881,799997,0.4181815681808807,0.6473863159178034,1.0000504180985497
Automotive,Books,334959,517361,517929,799997,0.41870032012620045,0.6474376692483585,1.0000370573682476
Fashion,Sport & Outdoor,334941,517932,517374,799997,0.41867782004182513,0.6466891406593915,0.9999523989610829
Baby,Beauty,334894,517419,517820,799997,0.4186190698215118,0.6472394712988893,0.9999413605513452
Fashion,Garden & Pool,334958,517932,517409,799997,0.418699070121513,0.6467219635010001,0.9999355067942568
