sku_or_id,title,brand,category,price,availability,availability_bucket,n_images,desc_len,source_url,image_url
102116026,"50mm Desktop Paperweight Magnifying Glass, Domed Reading Magnifier",,Stationery & Office,245,Ships in 14 - 16 work days,Lead time (imported),9,693,https://www.takealot.com/50mm-desktop-paperweight-magnifying-glass-domed-reading-magnifie/PLID102116026,https://media.takealot.com/covers_images/c98ba0d4e21545f28206520882944187/s-pdpxl.file
101098584,"Pocket Digital Camera, 48MP, 16X Zoom, 1080P HD, 2.4"" IPS, Mini",,Electronics,486,Ships in 14 - 16 work days,Lead time (imported),5,2496,https://www.takealot.com/pocket-digital-camera-48mp-16x-zoom-1080p-hd-2-4-ips-mini/PLID101098584,https://media.takealot.com/covers_images/1ffb7b7f39804ca1ba7521a328e06f98/s-pdpxl.file
95334072,3-Piece Travel 28-Inch Luggage Suitcase Bag Set - Stylish,,Fashion,1499,,No live offer,72,1161,https://www.takealot.com/3-piece-travel-28-inch-luggage-suitcase-bag-set-stylish/PLID95334072,https://media.takealot.com/covers_images/1ee786859f0e4faeb1e7165d34460b1b/s-pdpxl.file
73659539,Tempered Glass 2 Burner Gas Stove With Regulator And 2M Pipe,,General Merchandise,799,Ships in 3 - 5 work days,Lead time (imported),2,568,https://www.takealot.com/tempered-glass-2-burner-gas-stove-with-regulator-and-2m-pipe/PLID73659539,https://media.takealot.com/covers_images/4201d5819342498ba5c25cceb7eb4c11/s-pdpxl.file
51857754,Electro Bizz Outdoor Insect Killer - Single Tube,Electro-Bizz,General Merchandise,2477,Ships in 5 - 7 work days,Lead time (imported),1,264,https://www.takealot.com/electro-bizz-outdoor-insect-killer-single-tube/PLID51857754,https://media.takealot.com/covers_tsins/54787668/54787668-1-pdpxl.jpg
90816875,Bathroom Rack,,General Merchandise,225,Ships in 5 - 7 work days,Lead time (imported),3,388,https://www.takealot.com/bathroom-rack/PLID90816875,https://media.takealot.com/covers_images/c1361524fe0b4b8cadfd6a443946b788/s-pdpxl.file
96304152,12 Pairs 925 Sterling Silver Hypoallergenic Studs,,General Merchandise,266,In stock,In stock (fast),5,1192,https://www.takealot.com/12-pairs-925-sterling-silver-hypoallergenic-studs/PLID96304152,https://media.takealot.com/covers_images/66c2b21c0bbd419dbe16058d545d5c19/s-pdpxl.file
99591583,USB Rechargeable Table Fan Cooling Device Portable Double Head Cooling Fan,,Electronics,248,,No live offer,10,679,https://www.takealot.com/usb-rechargeable-table-fan-cooling-device-portable-double-head-c/PLID99591583,https://media.takealot.com/covers_images/e7aa2393251d4ffe93f8b07db0c742de/s-pdpxl.file
100472302,MS148 Reciprocating Electric Polishing Sander Mini Handheld Sanding Tools f,,Tools & DIY,317,Ships in 14 - 16 work days,Lead time (imported),5,1776,https://www.takealot.com/ms148-reciprocating-electric-polishing-sander-mini-handheld-sand/PLID100472302,https://media.takealot.com/covers_images/5691a21eb1294be3af9307110e778b3c/s-pdpxl.file
56256614,Adjustable Noise Reduction Safety Ear Muffs - Black & Black,,Home & Kitchen,167,In stock,In stock (fast),5,1768,https://www.takealot.com/adjustable-noise-reduction-safety-ear-muffs-black-black/PLID56256614,https://media.takealot.com/covers_tsins/59370422/59370422-1-pdpxl.jpeg
90876506,3 Piece Hard Outer Shell Premium Lightweight Luggage Set,,Home & Kitchen,1499,,No live offer,17,1086,https://www.takealot.com/3-piece-hard-outer-shell-premium-lightweight-luggage-set/PLID90876506,https://media.takealot.com/covers_images/0859e84347bc419684f3af5766562e2c/s-pdpxl.file
101383957,Decorative Heat-Resistant Cotton Oven Skirt & Cabinet Curtain,,Home & Kitchen,310,Ships in 14 - 16 work days,Lead time (imported),5,692,https://www.takealot.com/decorative-heat-resistant-cotton-oven-skirt-cabinet-curtain/PLID101383957,https://media.takealot.com/covers_images/92e9aecfcb264fbb8fea03ed925c1f23/s-pdpxl.file
54590283,3 Piece Sleek Luggage Set,,General Merchandise,1499,,No live offer,28,1079,https://www.takealot.com/3-piece-sleek-luggage-set/PLID54590283,https://media.takealot.com/covers_tsins/57639349/57639349-1-pdpxl.jpeg
102116021,Car-Mounted Temporary Parking Sign with Phone Number,,Electronics,257,Ships in 14 - 16 work days,Lead time (imported),1,426,https://www.takealot.com/car-mounted-temporary-parking-sign-with-phone-number/PLID102116021,https://media.takealot.com/covers_images/734a52e2e2e74f93a6d7d014d5626034/s-pdpxl.file
102119906,32 Key Melodica Wind Instrument for Beginner Practice Pink,,Stationery & Office,525,Ships in 14 - 16 work days,Lead time (imported),5,447,https://www.takealot.com/32-key-melodica-wind-instrument-for-beginner-practice-pink/PLID102119906,https://media.takealot.com/covers_images/1a1b3c9f728b4356b605701b37bb8198/s-pdpxl.file
90124124,VGA Cable - 1.5m Bundle - 20 Pack,,Electronics,499,Ships in 5 - 7 work days,Lead time (imported),1,227,https://www.takealot.com/vga-cable-1-5m-bundle-20-pack/PLID90124124,https://media.takealot.com/covers_images/bc37ce4fecf24386b8f8aa3c886c589c/s-pdpxl.file
101302003,"Twist Drill Set 10 Pcs HSS, Hand Drill Chuck for Wood Drilling Tool",,Tools & DIY,313,Ships in 14 - 16 work days,Lead time (imported),5,593,https://www.takealot.com/twist-drill-set-10-pcs-hss-hand-drill-chuck-for-wood-drilling-to/PLID101302003,https://media.takealot.com/covers_images/3c9c1a3d1ee14c0d97f99da7758aabef/s-pdpxl.file
91700110,Impulse Plastic Heat Sealer 300mm,,General Merchandise,549,Ships in 3 - 5 work days,Lead time (imported),5,454,https://www.takealot.com/impulse-plastic-heat-sealer-300mm/PLID91700110,https://media.takealot.com/covers_tsins/48061421/48061421-1A-pdpxl.jpg
101944635,2 Pack UPF Sun Protection Baseball Hats,,Sport & Outdoor,342,Ships in 14 - 16 work days,Lead time (imported),8,740,https://www.takealot.com/2-pack-upf-sun-protection-baseball-hats/PLID101944635,https://media.takealot.com/covers_images/4ba0049bd1d141679b075e438206e746/s-pdpxl.file
101532706,"Sun & Rain Umbrella - Triple Fold, Auto Open, Compact",,Automotive,439,Ships in 14 - 16 work days,Lead time (imported),5,862,https://www.takealot.com/sun-rain-umbrella-triple-fold-auto-open-compact/PLID101532706,https://media.takealot.com/covers_images/865b1b0c81bc4dd7b574db0d5d8b09ee/s-pdpxl.file
97486198,Square Bathroom Basin Waterfall Faucet Taps Mixer With Two 60cm Hose,,Home & Kitchen,299,In stock,In stock (fast),6,910,https://www.takealot.com/square-bathroom-basin-waterfall-faucet-taps-mixer-with-two-60cm-/PLID97486198,https://media.takealot.com/covers_images/ae93c9e6e33b4e19aa5a9f6a6c16bede/s-pdpxl.file
94003606,Faux Leather Bar Stool / Kitchen Counter Chairs Set of 2 CR177,,Home & Kitchen,1394,,No live offer,18,585,https://www.takealot.com/faux-leather-bar-stool-kitchen-counter-chairs-set-of-2-cr177/PLID94003606,https://media.takealot.com/covers_images/db1f0f4944d64a599cf7ac3ca140e38a/s-pdpxl.file
73884425,Luminous Florescent Shoe Laces - Glow In The Dark,,Fashion,79,,No live offer,9,360,https://www.takealot.com/luminous-florescent-shoe-laces-glow-in-the-dark/PLID73884425,https://media.takealot.com/covers_images/c4b87e909c3b4b378667098bf367ff07/s-pdpxl.file
95922602,Ubiquiti UISP 60GHz/5GHz PtMP Wave Access Point |,Ubiquiti,General Merchandise,12200,Ships in 3 - 5 work days,Lead time (imported),5,626,https://www.takealot.com/ubiquiti-uisp-60ghz-5ghz-ptmp-wave-access-point/PLID95922602,https://media.takealot.com/covers_images/3979ca88d22541d9ac23c62c959aa90e/s-pdpxl.file
99692137,Double-Zipper Diagonal Classic Crossbody Bag,,Fashion,502,,No live offer,15,871,https://www.takealot.com/double-zipper-diagonal-classic-crossbody-bag/PLID99692137,https://media.takealot.com/covers_images/ff7a2aa06a40472181bdad66bac60b03/s-pdpxl.file
98283909,HUAWEI WATCH Fit 4 GPS - Enriched Sports Modes | Up to 10-Day Battery Life,Huawei,Sport & Outdoor,1999,,No live offer,20,4854,https://www.takealot.com/huawei-watch-fit-4-gps-enriched-sports-modes-up-to-10-day-batter/PLID98283909,https://media.takealot.com/covers_images/6cf41558e384402eb868c20861956c24/s-pdpxl.file
94552320,Tranquil Oasis: Outdoor Metal Swing Bench with Cushions,,Home & Kitchen,5799,Ships in 5 - 7 work days,Lead time (imported),6,887,https://www.takealot.com/tranquil-oasis-outdoor-metal-swing-bench-with-cushions/PLID94552320,https://media.takealot.com/covers_images/ba3ed43d68ef47dbbeaa5c25b7bf1472/s-pdpxl.file
91010761,Cricut 2007904 Infusible Ink Men's White T-Shirt (XL),Cricut,Fashion,169,Ships in 5 - 7 work days,Lead time (imported),1,370,https://www.takealot.com/cricut-2007904-infusible-ink-men-s-white-t-shirt-xl/PLID91010761,https://media.takealot.com/covers_images/e365695883c444858b3dc63c0eca64a6/s-pdpxl.file
90221583,Jooste Cylinder Ringset As70,Jooste,General Merchandise,305,Ships in 4 - 6 work days,Lead time (imported),1,154,https://www.takealot.com/jooste-cylinder-ringset-as70/PLID90221583,https://media.takealot.com/covers_images/f9926798c11749af938f3293e9a3d893/s-pdpxl.file
91188809,Premium TPU key cover - black and gold compatible with VW Golf/Polo/Jetta,,General Merchandise,299,In stock,In stock (fast),2,331,https://www.takealot.com/premium-tpu-key-cover-black-and-gold-compatible-with-vw-golf-pol/PLID91188809,https://media.takealot.com/covers_images/27d2e2d3b8d7499f98384791b436e98b/s-pdpxl.file
90422981,"8 Pieces Of 25.5"" Modern Style Eiffel Chair Counter Bar Stools Set",,Home & Kitchen,4294,,No live offer,17,1075,https://www.takealot.com/8-pieces-of-25-5-modern-style-eiffel-chair-counter-bar-stools-se/PLID90422981,https://media.takealot.com/covers_images/abb1bebf2f5045128d4f8b45ca6c5c84/s-pdpxl.file
101195292,Silicone TPU Soft Phone Case Compatible with Samsung Galaxy S25,,Electronics,239,,No live offer,9,433,https://www.takealot.com/silicone-tpu-soft-phone-case-compatible-with-samsung-galaxy-s25/PLID101195292,https://media.takealot.com/covers_images/60f8a8531fc0439baba10bb42b2a8489/s-pdpxl.file
99600162,Round Roll Top Chafing Dish with Window,,General Merchandise,3285,Ships in 4 - 6 work days,Lead time (imported),5,330,https://www.takealot.com/round-roll-top-chafing-dish-with-window/PLID99600162,https://media.takealot.com/covers_images/4c8af78fb3b7434e954f03a636bd4085/s-pdpxl.file
91294599,K-Brand - Johnson Coupling Galv 20mm,K-BRAND,General Merchandise,192,Ships in 4 - 6 work days,Lead time (imported),1,95,https://www.takealot.com/k-brand-johnson-coupling-galv-20mm/PLID91294599,https://media.takealot.com/covers_images/020273d6b7fe4aed99d154ce17945bdd/s-pdpxl.file
69531046,3 Piece Hard Outer Shell Luggage Set,,General Merchandise,1239,,No live offer,24,1081,https://www.takealot.com/3-piece-hard-outer-shell-luggage-set/PLID69531046,https://media.takealot.com/covers_images/10d29cfb3c174dda96b6d6a2eb3961df/s-pdpxl.file
100930783,Gradient Short Curly Wig,,General Merchandise,398,Ships in 14 - 16 work days,Lead time (imported),3,313,https://www.takealot.com/gradient-short-curly-wig/PLID100930783,https://media.takealot.com/covers_images/47eec5ede3c747bc84b981676f2e14b0/s-pdpxl.file
101816501,Toilet Water Valve 31705 Compatible with Thetford Aqua Magic V,,General Merchandise,398,Ships in 14 - 16 work days,Lead time (imported),5,856,https://www.takealot.com/toilet-water-valve-31705-compatible-with-thetford-aqua-magic-v/PLID101816501,https://media.takealot.com/covers_images/2c9bd876e61b4f7fab3a0cba1596f8f5/s-pdpxl.file
101823364,Stranger Things Carnivorous Plant Onesie Pajamas - Parent- Family Set,,General Merchandise,926,,No live offer,5,1401,https://www.takealot.com/stranger-things-carnivorous-plant-onesie-pajamas-parent-family-s/PLID101823364,https://media.takealot.com/covers_images/889c7cedb706452c89d45cd631da0885/s-pdpxl.file
101352302,16Pcs Carbide Drill Bits Set for Woodworking,,Tools & DIY,699,Ships in 14 - 16 work days,Lead time (imported),5,708,https://www.takealot.com/16pcs-carbide-drill-bits-set-for-woodworking/PLID101352302,https://media.takealot.com/covers_images/2082585d46534fef8d1d8c9eb2fcfa10/s-pdpxl.file
98315087,Lattafa Khamrah Dukhan 100ml EDP,Lattafa,General Merchandise,599,Ships in 4 - 6 work days,Lead time (imported),4,814,https://www.takealot.com/lattafa-khamrah-dukhan-100ml-edp/PLID98315087,https://media.takealot.com/covers_images/8a55219c6aa14b82b1100c400ca63a98/s-pdpxl.file
101816332,RV Refrigerator Door Handle Compatible with 3316882900 S,,General Merchandise,441,Ships in 14 - 16 work days,Lead time (imported),5,989,https://www.takealot.com/rv-refrigerator-door-handle-compatible-with-3316882900-s/PLID101816332,https://media.takealot.com/covers_images/d5d2feb4f36144df8680c768ba1b9348/s-pdpxl.file
92480041,Round Glass Table with 2 Modern Velvet and Gold Metal Dining Chairs,,Home & Kitchen,2595,Ships in 5 - 7 work days,Lead time (imported),4,1592,https://www.takealot.com/round-glass-table-with-2-modern-velvet-and-gold-metal-dining-cha/PLID92480041,https://media.takealot.com/covers_images/7656b4cbd9824f3cb20485e0e683ac1a/s-pdpxl.file
99387827,Dell Pro CP 5426 G 14-inch Plus EcoLoop Backpack Grey,Dell,Sport & Outdoor,886,Ships in 4 - 6 work days,Lead time (imported),5,565,https://www.takealot.com/dell-pro-cp-5426-g-14-inch-plus-ecoloop-backpack-grey/PLID99387827,https://media.takealot.com/covers_images/c0ea1578cfa14077aa653d26bc32c101/s-pdpxl.file
92578115,My First Toddler Balance Bike,,Sport & Outdoor,351,,No live offer,11,1622,https://www.takealot.com/my-first-toddler-balance-bike/PLID92578115,https://media.takealot.com/covers_images/ee737bb267544da48a37be09a49ddc5c/s-pdpxl.file
100983621,Soft Silicone Phone Case Compatible With Redmi Note 14 Pro Plus,,Electronics,301,,No live offer,25,1068,https://www.takealot.com/soft-silicone-phone-case-compatible-with-redmi-note-14-pro-plus/PLID100983621,https://media.takealot.com/covers_images/14ce4585997b49f0919af443fe8cfb7b/s-pdpxl.file
92677299,HP ScanJet Pro 2600 f1 Flatbed Scanner,HP,General Merchandise,6740,Ships in 4 - 6 work days,Lead time (imported),1,5543,https://www.takealot.com/hp-scanjet-pro-2600-f1-flatbed-scanner/PLID92677299,https://media.takealot.com/covers_images/29cec4cd44d94cca9be5b68f22b90a61/s-pdpxl.file
101508160,Professional Oxford Cloth Conductor Baton Case with Handle,,General Merchandise,367,Ships in 14 - 16 work days,Lead time (imported),6,1294,https://www.takealot.com/professional-oxford-cloth-conductor-baton-case-with-handle/PLID101508160,https://media.takealot.com/covers_images/f364ab9422734cd4a58fdbfe4df1f37c/s-pdpxl.file
100938760,Multifunctional Tension Rope Yoga Pedal Puller Resistance Band Pink,,Sport & Outdoor,319,Ships in 14 - 16 work days,Lead time (imported),6,1190,https://www.takealot.com/multifunctional-tension-rope-yoga-pedal-puller-resistance-band-p/PLID100938760,https://media.takealot.com/covers_images/a62ab79e79e64da2840e4e77a5fb5d8f/s-pdpxl.file
73181585,Keyboard Cleaning Adhesive Universal Dust Gel 160g tub - Blue,,Electronics,69,In stock,In stock (fast),2,1058,https://www.takealot.com/keyboard-cleaning-adhesive-universal-dust-gel-160g-tub-blue/PLID73181585,https://media.takealot.com/covers_images/f80e7fe7db964782a06c6982a467d2dc/s-pdpxl.file
94493863,Modern Mesh Visitor Office Chair D2332,,Home & Kitchen,3395,Ships in 5 - 7 work days,Lead time (imported),4,1793,https://www.takealot.com/modern-mesh-visitor-office-chair-d2332/PLID94493863,https://media.takealot.com/covers_images/02c5ffa7c6dd4a269207be62f1673aa6/s-pdpxl.file
101188720,Sparkling Braided CZ Ring - 925 Sterling Silver-Plated Platinum for Women,,Home & Kitchen,297,,No live offer,6,708,https://www.takealot.com/sparkling-braided-cz-ring-925-sterling-silver-plated-platinum-fo/PLID101188720,https://media.takealot.com/covers_images/6104afabe31340e1981cec3be66c8e1f/s-pdpxl.file
73672276,Chef Cooking Set For Kids Kitchen Set of 20,,Home & Kitchen,895,Ships in 4 - 6 work days,Lead time (imported),5,1045,https://www.takealot.com/chef-cooking-set-for-kids-kitchen-set-of-20/PLID73672276,https://media.takealot.com/covers_images/da52e9175ba549f79222855e5218c73c/s-pdpxl.file
97994185,"4Pc Furniture Legs,Oblique Cone Cabinet Leg For Table Sofa Desk,Replacement",,Home & Kitchen,201,,No live offer,7,777,https://www.takealot.com/4pc-furniture-legs-oblique-cone-cabinet-leg-for-table-sofa-desk-/PLID97994185,https://media.takealot.com/covers_images/fa8f2a2c2a334bd5b8e1991e6a0708fe/s-pdpxl.file
99477577,Black Slim Smart Band 10 Watch,,Fashion,1296,Ships in 14 - 16 work days,Lead time (imported),5,2033,https://www.takealot.com/black-slim-smart-band-10-watch/PLID99477577,https://media.takealot.com/covers_images/817a7c7a90f847ef9fee26b56730ea25/s-pdpxl.file
