title,brand,category,price,availability_bucket
Tetley Mango flavoured Green tea with Vitamin B5 - 20 tagless teabags,Tetley,Beauty & Health,25,In stock (fast)
Round Metal Steel Mesh Pen Stand Holder - Black,,Stationery & Office,57,In stock (fast)
Keyboard Cleaning Adhesive Universal Dust Gel 160g tub - Blue,,Electronics,69,In stock (fast)
Silicone Bottle Cleaning Brush,,Home & Kitchen,75,No live offer
FI- Water Faucet Extender for Kitchen,,Home & Kitchen,76,In stock (fast)
Luminous Florescent Shoe Laces - Glow In The Dark,,Fashion,79,No live offer
Washing Pegs - Assorted Colours - Plastic - 70mm - 24 Piece,,General Merchandise,79,Lead time (imported)
Advanced M.2 Heatsink with Base (Sled),,Stationery & Office,79,In stock (fast)
Rosemary Oil 30ml- Hemani,Hemani,General Merchandise,81,In stock (fast)
Travel Toothbrush Holder Cup,,Home & Kitchen,82,No live offer
