title,brand,category,price,availability_bucket
"(RS) Liquid Cooled AM5 RX 9070 XT Ryzen 7 9800X3D 32GB/1TB SSD ""Second Son""",,Electronics,53451,Lead time (imported)
"[Pre Built] Liquid Cooled RX 9070 XT Intel Core i5-14600K ""Aurumcore""",,General Merchandise,44462,Lead time (imported)
"Lenovo ThinkPad E16 Gen 3 16"" WUXGA Laptop - Ultra 7 258V, 32GB RAM 1TB SSD",Lenovo,Electronics,33399,Lead time (imported)
"Acer TravelMate P214 Core 7 150U 16GB 512GB 14"" WUXGA LTE Win11 Pro",Acer,General Merchandise,29699,Lead time (imported)
Gizzu Hero Ultra Plus 3840Wh UPS Power Station,Gizzu,General Merchandise,28008,Lead time (imported)
"Lenovo ThinkPad E16 Gen 3 16"" WUXGA Laptop - Ultra 7 256V, 16GB, 512GB SSD",Lenovo,Electronics,27689,Lead time (imported)
Alienware 27 4K QD-OLED Gaming Monitor - AW2725Q,Alienware,Electronics,18460,Lead time (imported)
"Samsung Galaxy Tab S9 5G (X716) 11"" 256GB Tablet",Samsung,Electronics,17999,In stock (fast)
ASRock TRX50 WS AMD TR5 EATX Gaming Motherboard,Asrock,Electronics,17932,Lead time (imported)
MSI GeForce RTX 5070 INSPIRE 3X OC 12GB Graphics Card,MSI,General Merchandise,14999,Lead time (imported)
